District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Anjaw,Arunachal Pradesh,365,71,2.44,9.48,15.54,14.93,7.03,0.388,0.718,0.266,26.16,57.9
Nandyal,Andhra Pradesh,365,60,3.32,1.35,15.92,14.65,-1.98,0.264,0.283,0.246,10.53,233.6
Dhanbad,Jharkhand,365,55,2.67,6.37,13.0,14.4,3.7,0.376,0.636,0.267,25.84,100.7
Satara,Maharashtra,365,138,5.89,2.17,14.68,14.32,-3.73,0.599,0.514,0.717,15.77,125.8
Dumka,Jharkhand,365,71,3.64,6.28,13.1,14.25,2.64,0.521,0.789,0.389,19.97,113.0
Sangli,Maharashtra,365,88,4.81,1.8,15.07,14.02,-3.0,0.471,0.466,0.477,12.12,127.3
Bapatla,Andhra Pradesh,365,165,7.75,2.07,16.16,13.86,-5.68,0.489,0.394,0.644,19.64,93.6
Sonbhadra,Uttar Pradesh,365,59,3.07,6.44,11.49,13.86,3.38,0.503,0.763,0.375,22.72,57.5
Krishna,Andhra Pradesh,365,94,5.51,2.18,14.33,13.85,-3.34,0.424,0.457,0.394,18.17,72.2
Machilipatnam,Andhra Pradesh,365,94,5.51,2.1,14.17,13.75,-3.41,0.416,0.436,0.398,18.03,72.2
Bijapur,Chhattisgarh,365,50,3.26,2.52,16.36,13.72,-0.74,0.466,0.76,0.336,10.01,151.1
Puri,Odisha,365,89,5.45,3.01,15.01,13.62,-2.44,0.636,0.787,0.534,12.91,99.8
Giridih,Jharkhand,365,47,2.82,6.75,11.35,13.43,3.93,0.411,0.809,0.275,25.29,59.6
Rewa,Madhya Pradesh,365,77,3.03,6.62,10.36,13.37,3.58,0.551,0.701,0.454,22.3,61.9
Lakhisarai,Bihar,365,97,5.09,4.86,14.79,13.3,-0.23,0.673,0.753,0.608,18.54,117.6
Lower Dibang Valley,Arunachal Pradesh,365,70,3.15,7.03,19.0,13.23,3.88,0.348,0.614,0.243,21.71,65.9
Dibang Valley,Arunachal Pradesh,365,70,3.15,7.03,19.0,13.23,3.88,0.348,0.614,0.243,21.71,65.9
Jalna,Maharashtra,365,59,3.67,1.56,14.19,13.17,-2.11,0.496,0.559,0.446,9.5,125.2
Bhandara,Maharashtra,365,106,5.94,4.05,13.89,13.16,-1.89,0.67,0.651,0.69,18.01,111.0
Gaya,Bihar,365,50,2.75,6.25,12.2,13.09,3.5,0.456,0.78,0.322,22.24,57.8
Cuttack,Odisha,365,96,5.01,4.37,14.49,12.99,-0.63,0.653,0.802,0.55,15.95,166.7
Parbhani,Maharashtra,365,43,2.52,1.68,14.84,12.94,-0.84,0.29,0.419,0.222,8.54,184.6
Jalaun,Uttar Pradesh,365,82,4.64,2.74,13.84,12.9,-1.9,0.514,0.573,0.465,14.89,96.9
South Tripura,Tripura,365,60,2.49,6.76,13.23,12.88,4.27,0.443,0.783,0.309,19.77,107.1
Ballia,Uttar Pradesh,365,91,4.25,3.32,13.97,12.77,-0.93,0.4,0.429,0.375,15.79,121.8
Bhadohi,Uttar Pradesh,365,75,3.8,2.74,12.56,12.77,-1.07,0.465,0.533,0.412,16.01,168.4
Prakasam,Andhra Pradesh,365,75,4.05,1.51,15.16,12.75,-2.54,0.311,0.307,0.315,10.73,96.7
Jaipur,Rajasthan,365,73,3.57,1.73,13.51,12.68,-1.84,0.286,0.301,0.272,11.07,121.5
